Prompt,Source,Source Sub-category ,Year,Maturity,Tag,Description,,Transcript
Hydrogen Powered Aviation Through Sustainable Manufacturing and Repair of Carbon Fiber Reinforced Thermoplastic Composite Cryotanks.,TTT,Green Aviation Solicitation,2023,,,"Title: Hydrogen Powered Aviation Through Sustainable Manufacturing and Repair of Carbon Fiber
Reinforced Thermoplastic Composite Cryotanks.
The current use of fossil fuels within the aviation industry contributes more to global warming than is generally appreciated because of the mix of climate
pollutants it generates. A recent model analyzed the CO2 and non-CO2 effects (like nitrogen oxide
emissions and contrail formation) to assess aviation's total warming footprint. The report found aviation
contributed approximately 4% to observed human-induced global warming to date, despite being
responsible for only 2.4% of global annual emissions of CO2.(1)
One solution to the continued impact of aviation on climate change is a shift toward Sustainable
Aviation Fuels (SAFs), such as hydrogen. The European Clean Aviation Initiative reports that hydrogen
power can be part of the green aviation solution in that hydrogen power completely eliminates
CO2 emissions and can be produced carbon-free. Considering non-CO2 emissions as well, the latest
estimates show that hydrogen combustion could reduce the climate impact of flight by up to 75%, and
fuel-cell propulsion by up to 90%.(2) The Clean Sky 2 Program, which is part of the Clean Aviation
Initiative found that hydrogen either for fuel cells, direct burn in gas turbine engines or as a building
block for synthetic liquid fuels could feasibly power aircraft with entry into service by 2035 for shortrange aircraft at a cost of less than $20 extra per person on a short-range flight, and reducing climate
impact by 50 to 90%. (3)
Problem: While a clear pay-off exists for hydrogen powered aircraft, the physical space required to carry
gaseous hydrogen is large, requiring cryogenic storage hydrogen fuel as a liquid, at -253oC. The
successful utilization of lightweight carbon fiber/polymer composite tanks has met challenges cycling to
this temperature, the primary challenge being microcracking of the matrix.
Has someone tried to solve the problem before. Composite cryotanks have been evaluated by industry
and Government for decades.(4) The most common materials and manufacturing approach for
composite tanks has been autoclave consolidated carbon fiber and epoxy composite. As the tank is
subjected to repeated fill/drain cycles, the mismatch in the coefficient of thermal expansion between
the carbon fiber reinforcement and epoxy matrix leads to residual stresses in the laminated tank wall
resulting in matrix microcracking (5). This was addressed by the NASA Composite Cryotank Technology
Demonstration Project in 2013 by using thin plies to reduce interlaminar stresses. This approach was
successful in reducing, but not eliminating microcracking. Once microcracking starts, it cannot be
repaired in an epoxy matrix cryotank. In addition, the epoxy matrix material is cured in an autoclave
which is a high energy process and requires the use of non-recyclable/ non-reusable consumable
materials.
A separate materials option for composite cryotanks is carbon fiber reinforced thermoplastics.
Thermoplastic matrix composites offer greater compliance than the traditional epoxy (thermoset)
matrix materials and therefore the potential to reduce matrix microcracking. There has been limited
research using thermoplastics due to manufacturing challenges such as low drapability of the composite
prepreg and the requirement for high processing temperatures. Recent developments in low melt
temperature materials and automated manufacturing provide new opportunities for this material class.
Thermoplastic composites are receiving attention for cryogen storage, most notably a study is currently
underway in the Netherlands to build and evaluate thermoset and thermoplastics composites for liquid
hydrogen cryotanks for commercial aircraft. (6)
",,
Robust Repair and Refurbishment Technologies Enabling Reusability and Life Extension of Ceramic Matrix Composites Propulsion Components,TTT,Green Aviation Solicitation,2023,,,"Title:  Robust Repair and Refurbishment Technologies Enabling Reusability and Life Extension of Ceramic Matrix Composites Propulsion Components  

Advanced silicon carbide fiber reinforced silicon carbide matrix (SiC/SiC) composite components are currently in service and being further developed for insertion in several turbine engine applications. The advantages of ceramic matrix composites (CMCs) over metals include lower weight, higher temperature capability and stability, and corrosion resistance while the advantages over monolithic (non-fiber reinforced) ceramics include damage tolerance, graceful failure, and thermal shock resistance. CMC turbine engine components offer significant performance benefits of reduced cooling, fuel burn, and emissions (NOx and COx), however, the materials are relatively expensive with complex manufacturing required for the integrated constituents of the CMC. During service, the CMC components (e.g. turbine blades, vanes, shrouds, and combustor liners) experience degradation in performance due to various forms of damage including oxidation, impact damage, erosion, surface spallation, and delamination. Currently, as CMC parts wear out and, in some cases, when cooling channels within CMCs are degraded or clogged, they need to be replaced with brand new parts. The continuous replacement of CMC components will be quite expensive given the high acquisition cost of components. It will also contribute to material waste and a higher demand for labor, time, and energy resources during their fabrication compared to that of refurbished parts.  

Currently, metallic turbine engine components are regularly repaired and refurbished during engine overhauls to extend life of components. This repair and refurbishment provide significant cost savings, extends reliability, safety, and life of components as well as reduce wastes. However, looking at the ceramic matrix composite landscape, no viable repair or refurbishment technology is available. At GRC, we have significant experience in developing repair and refurbishment technologies for space shuttle leading edges (C/C composites) and a collaborative program with Goodrich Corp. for the C/C composite aircraft brake repair and refurbishment.  These technologies were developed at high TRL level and wide variety of testing was conducted.  

We propose to advance the state-of-the-art by developing methods to repair and refurbish SiC/SiC CMCs to retain material performance requirements and extend their service life thus reducing waste. As of now, there are no suitable methods to extend the life of damaged CMCs using repair and refurbishment technologies. One method investigated by other researchers is the self-healing of cracked CMCs by forming glasses in the matrix or coating which melt and flow to fill in cracks (ref. 1-2). However, the formed glass can only slowdown the oxidation in the vicinity of a matrix crack without contributing to CMC mechanical load carrying capability. Also, low melting glasses are not appropriate as they create stress corrosion, vaporization, and reduce service life. Currently used CMCs do not have any glass forming constituents due to these reasons. Any repair and refurbishment technology should not only be able to repair only cracks but other forms of CMC damage such as cooling channels restoration. It should also avoid potential chemical incompatibility with the CMCs and/or their environmental barrier coatings (EBCs). Furthermore, the self-healing crack methods have temperature capabilities well below the SiC/SiC maximum service temperature of 2400°F and especially the new target of 2700°F for next generation SiC/SiC. A group from Boeing has investigated patches for repairing space shuttle leading edges (ref. 3). Their approach does not seem to have been fully developed or reported. The leading-edge patches are not fully processed until earth-atmosphere-reentry heating where the high reentry temperatures act to pyrolyze the material. At NASA GRC, Dr. Mrityunjay Singh, who is part of this proposal, had developed “Glenn Refractory Adhesive for Bonding and Exterior Repair (GRABER) (refs. 4-8)”, which was successfully used for repairing reinforced carbon/carbon composite (RCC) with different types of damage (cracks, spallation, delamination, etc). The verification and qualification testing was carried out in arc-jet testing facilities at NASA JSC, NASA Ames, and Boeing LCAT facilities in St. Louis, MO. He has also worked with largest US aircraft brake manufacturer for the repair and refurbishment of C/C composite aircraft brakes. Experience gained from the assessment of CMC damage and repair techniques will be leveraged for our specific case of SiC/SiC CMCs for turbine engine applications with an emphasis on retaining mechanical properties and environmental stability in a steam environment. Engine combustion environments are rich in water vapor which can cause reactions and surface recession and degradation of SiC/SiC materials.  

The approach is to develop a method for the repair and refurbishment of SiC/SiC CMCs. Material compositions will be developed and evaluated. Processing conditions will be optimized. Various types of flaws (e.g. surface, through holes, and de-laminations) will be introduced into the CMC test specimens. For larger flaws, a preform of SiC woven cloth will be integrated with the repair materials for maintaining CMC structural integrity. The ability for the repair and patch methods to retain mechanical strength and environmental durability will be assessed. Testing of tensile coupons while under a mechanical stress in a steam environment will be conducted to compare the performance of undamaged, damaged & unrepaired, and damaged & repaired CMCs. The results will be analyzed to determine repair effectiveness. Correlations will be made between material microstructures, processing conditions, and properties.  

CMCs enable more efficient turbine engines for reducing fuel consumption, carbon emissions and environmental impacts due to their higher operating temperatures, reduced cooling requirements, and improved engine efficiency. Successful repair methods will further enhance the green technology benefits of CMCs by contributing to their greater utilization in turbine engines, longer component lives, and reduced costs and waste. ",,
Performance Enhancement of Proton Exchange Membrane Fuel Cell Components with Machine Learning for Electric Aircraft Propulsion,TTT,Green Aviation Solicitation,2023,,,"Title: Performance Enhancement of Proton Exchange Membrane Fuel Cell Components with Machine Learning for Electric Aircraft Propulsion 

NASA aeronautics goals include pioneering new technology to reduce emissions, noise, and carbon footprint from air travel.  The feasibility of using fuel cells and on-board cryogenic hydrogen (H2) systems in combination with electric motors for zero emission commercial transport aircraft has been widely examined.  Developing a practical, implementable carbon-free electric power system for a highly constrained “electric aircraft” application is a complex and complicated poly-dimensional optimization problem. The primary factor limiting fuel cell implementation remains thermal management at the required high fuel cell stack specific power levels resulting from inadequate heat transfer and unacceptably inefficient operation manifesting as low average cell voltage (Vcc). Despite many historical and current research efforts by government, academia, and aviation industry, the relative importance of design parameters across multiple systems and levels of assembly remains poorly understood.  Materials science and engineering has played a central role in the evolution of improved electrochemical technologies such as fuel cells and batteries. However, traditional ‘‘Edisonian’’ approaches to evolve from discovery to commercial implementation is too costly and time consuming relative to the accelerating anthropogenic climate change resulting from Carbon Cycle disruptions. The emergence of Machine Learning (ML) modeling methods with increasingly powerful computers has augmented cross-disciplinary technological advances from materials discovery to commercialized products.  This activity proposes using the latest artificial intelligence (AI) research to develop two ML models. the first model is critical to understand the relationships among system-level variables for electric aircraft propulsion (EAP) by assessing fuel cell power system response (Vcc) to the normalized aircraft electrical load current density (i) (
 The second model will implement a self-driven approach based on the first model and leverage existing models to elucidate the critical supporting parameters for optimizing the fuel cell system operation and calculate the EAP fuel cell power system performance metrics of power density (W/L), specific power (W/kg) and long-term stability from repeated experimentation.  Establishing a self-driving laboratory for a ML fuel cell technology modeling tool marks a pioneering leap in sustainable energy research which sets it apart from traditional modeling methodologies like Monte Carlo modeling. This information will focus objective development goals by identifying material, components and/or system interfaces that can viably meet EAP performance metrics and provide feasible performance profiles for aircraft-level models investigating EAP. These sensitive parameters potentially can range from fuel cell component materials, mechanisms to enhance convective heat transfer, to low mass phase change materials, to optimizing power management and distribution (PMAD) components for reducing ohmic resistance. The study is a general development of a tool of FC for implementing EAP in the medium-scale commercial aircraft as it provides the most impactful transformation to zero emission commercial aviation. 

",,
Maximizing the Efficiency of Advanced Air Mobility with Formation Flight,TTT,Green Aviation Solicitation,2023,,,"Title: Maximizing the Efficiency of Advanced Air Mobility with Formation Flight 

Formation flying is a well-known approach for improving the efficiency of flight. Migratory birds flying in V-formation gain significant efficiency by taking advantage of the upwash from the wing tip of the leading bird, which allows the trailing birds to fly with reduced angle-of-attack and lower induced drag [1]. For birds and aircraft alike, the key to gaining maximum efficiency with this technique is identifying the optimal configuration of the formation. While birds can do this adaptively in actual flight (and millions of years of evolution), computational tools are needed to investigate the possible benefits for safely improving the efficiency of human air transportation especially for use of newly emerging electric-Vertical Takeoff and Landing (eVTOL) vehicle designs. 

The computational objectives needed for a comprehensive study of formation flight are: 

Finding the optimal formation configuration as function of vehicle types/design and flight conditions, 

Identifying the most efficient (and safe) way to form the configuration, 

and maneuver within the formation, e.g., to transfer the lead-aircraft 

potentially with specialized actuators for control within the wake where traditional actuators (e.g., ailerons) lose effectiveness. 

A study of the control laws to 

automatically hold the optimal configuration, 

while remaining robust to adverse weather disturbances, 

Determining methods to maneuver the overall formation as one,  

and compute optimal trajectories of the formation in weather. 

 

The concept of formation flight is not new and has been studied extensively. Some theoretical studies have shown potential drag reduction for extended formation flight at 38%-45%, and flight tests with more conventional vehicle types (F/A 18 and C-17) at AFRC have shown fuel flow reduction of 7%-18% [2].  Flight dynamics in wake is not necessarily LTI (linear time invariant) but is nonlinear LTV (linear time varying) [3].  The efficiency gains from free lift associated with formation flight may be offset by degradation in stability and control.  Safety and ride quality are important considerations.  The uncertainty around the trade-space for eVTOL vehicles is exactly why this type of work needs to be funded initially at a small funding level.  Because of the nature of the challenges in many different areas (nonlinear aerodynamics, nonlinear LTV flight dynamics, and nonlinear control), this is a rich area for research.  There are computational models for wake interaction currently under development [4] which could be utilized in this study to enable rapid assessment and trade-space exploration. 

There are however few (if any) studies on optimization of formation flight for more efficient Urban Air Mobility operations with eVTOL vehicles. Also, the simultaneous considerations of control robustness and formation safety are missing from all the studies that we know of. Traditionally, flight safety is concerned with wake avoidance, whereas the objective here is to leverage it for energy savings.  

 ",,
Sensor System Study for Health Management of Sustainable Aviation Based on Electric Propulsion,TTT,Green Aviation Solicitation,2023,,,"Title: Sensor System Study for Health Management of Sustainable Aviation Based on Electric
Propulsion
 NASA is committed to supporting the U.S. climate goal of achieving net-zero greenhouse
gas emissions from the aviation sector by 2050 and is leading federal agencies and industry to
accelerate the development of sustainable aviation technologies. This includes developing and
deploying alternate, new vehicle designs and architectures including Hybrid Electric or All Electric
vehicle concepts [1,2]. Examples are the Subsonic Single Aft Engine (SUSAN) Electrofan, the Singleaisle Turboelectric AiRCraft with Aft Boundary Layer propulsor (STARC-ABL), and other activities
[3,4,5].
However, these aircraft concepts introduce new hardware systems along with new health
management challenges. For example, fault detection and diagnostics of hybrid electric or all
electric propulsion systems requires an understanding of the operation, performance, degradation,
and failure mechanisms of electric machines, converters (inverters/rectifiers), and power cables
along with the operation of these devices in increasingly complex flight environments [6].
Introduction of new vehicle types and integrated power and propulsion systems requires
increasingly intelligent vehicle systems with capability to detect, diagnose, and predict system
degradation, faults, and failures in a resilient and trustworthy manner. Furthermore, intelligent
vehicle systems must be capable of estimating system capability as it degrades. Monitoring the
system health state has an impact on system operating cost, performance, efficiency, and
environmental impact. Predictive maintenance reduces maintenance cost and vehicle down-time
through reduced unnecessary maintenance costs and improved vehicle availability and throughput.
Efforts are ongoing to evaluate and document potential failure modes and hazards posed by an
Electrified Aircraft Propulsion (EAP) system [6]. Due to their increased complexity and integrated
nature, EAP systems present additional failure modes and hazards not found in conventional
aircraft propulsion designs. Mitigation of these EAP failures requires a system-level design and
analysis approach, which is on-going. Major findings of this work include that EAP degradation,
faults, and failure modes present new health management challenges. This requires background
understanding of electrical engineering and system control and concept of operations (motor
control, generator control, battery management systems). Furthermore, electrical systems don’t
always degrade/fail gracefully, which makes early (timely) diagnosis to enable maintenance
challenging.
Faults include those associated with: electric machines (motors/generators) such as the health of
bearings, lubrication and cooling, windings, rotor, insulation; converters (inverters/rectifiers),
electronic components and the cooling system; high voltage wire and cables, including short or
open circuits and insulation breakdown; overall power quality including degradation/faults leading
to voltage ripple and power instabilities; and thermal management system and battery failures
(thermal runaway). These types of faults require new sensor measurement types compared to
turbine engine, e.g., concentrating on current and voltage, and tailored for a new infrastructure
associated with EAP rather than turbine engines. Although these faults are being identified in 
System Analysis and Failure mode, effects, and criticality analysis (FEMCA) studies presently
ongoing in the ARMD [7], there is limited ongoing work related to understanding the sensor types
and sensing approaches most optimized for this new aircraft infrastructure. Such an understanding
is a necessary first step toward Integrated Vehicle Health Management (IVHM), combining sensing,
diagnostics, and prognostics, for future Sustainable Aviation based on EAP.
Objectives: This task will work in parallel with the ongoing analysis of EAP fault detection [6,7] to
examine sensors and sensor systems that can address fault detection in EAP aircraft. The challenges
for sensor technology for EAP applications include: operation in a high noise environment or with
corona discharge at altitude; increasing integration of sensor technology into electric components
to minimize size weight power and cost; multi parameter measurements to better understand the
health state of the EAP system; providing actionable information for higher level diagnostics; and
leveraging the EAP architecture itself to provide better system level diagnostics. This task intends to
formulate a framework for sensor and sensors systems for EAP health management applications
addressing these challenges.
Approach: In particular, this task will examine the EAP architecture and fault studies to first
understand the wide range of potential failure mechanisms. It will then survey the existing methods
of EAP fault detection to both understand how it is done now, and shortfalls to these approaches. It
will then examine methods for improved EAP sensing including, e.g., new sensor types or additive
manufacturing. The conclusion of this work is a white paper summarizing the above activities and a
preliminary road map for possible ARMD future investment in this area.
This task leverages the ongoing activities in the Intelligent Control and Autonomy Branch (LCC) and
related existing expertise and capabilities [7]. Coordination between multiple sensor Subject Matter
Experts (SME) within the Communications and Intelligent Systems Division, as well as SME in other
Branches both at NASA Glenn Research Center and across the agency is planned. At least one trip is
planned given available resources to a relevant conference related to this topic and/or industry to
broaden the input provided to this study.
Although not presently proposed, but could considered with project management, is the possibility
of hosting a Technical Interchange Meeting (TIM) on the topic Sensor Technology for EAP Health
Management, or even more broadly for IVHM for Sustainable EAP Aviation.
Anticipated Benefits: This task performs the initial survey work needed to define a sensor approach
to be combined with both on-going and future ARMD activities in IVHM for EAP applications
program in sensing, diagnostics, and prognostics. IVHM for EAP is necessary for eventual system
application, whether it be for safety, economic, efficiency, or performance reasons. Overall, new
electric vehicles can be smarter, safer, and more efficient leveraging the difference in architecture;
this work is a first step in providing sensor technology to enable this vision.",,
Additive Manufacturing of Polyimde Composites for Battery Packaging,TTT,Green Aviation Solicitation,2023,,,"Additive Manufacturing of Polyimde Composites for Battery Packaging 

Introduction  

Advances in lithium battery has made electrical propulsion a reality in the electrified aircrafts. Lightweight aluminum has been used preferentially chosen as the packaging material due to the large amount of power require to propel the electrified aircrafts.  the weight saving in engines often translates into 3 times of weight saving in the aircrafts, it is imperative to find alternative materials for battery packs other than aluminum. Additive manufacturing of lightweight, high temperature thermoset polyimide matrix composites (PMC) in place of aluminum casing for battery packaging will save 50% weight (Al:PMC density ratio = 2.7:1.3 g/cc), ease the manufacturing process of complex shape and improve production efficiency. Furthermore, the boron nitride filled polyimide composite is thermally conductive but not electrically conductive, which may be a plus for battery packs to prevent the loss of electricity.  
",,
Modeling and mitigation of hydrogen embrittlement of GRX-810 alloy for hydrogen propulsion storage tanks,TTT,Green Aviation Solicitation,2023,,,"Title:Modeling and mitigation of hydrogen embrittlement of GRX-810 alloy for hydrogen propulsion storage tanks 

     Cryogenic hydrogen fueled aircraft (under development at NASA GRC, Airbus, etc.) is one of the options to slash CO2 emissions related to air transportation. The main issue with using hydrogen in aircraft is its very low density [1]. Storing hydrogen in its liquid state (at cryogenic temperature) is one of the methods to increase the density. Liquid hydrogen storage tank needs to be resistant to hydrogen embrittlement and capable of structurally withstanding the temperatures of liquid hydrogen. Hydrogen embrittlement is a reduction in the ductility of the structural material (metal alloy) due to absorbed hydrogen. The main goal of this proposal is to investigate the effects of hydrogen absorption on ductility of the alloy GRX-810 [2], that is under development at NASA GRC. GRX-810 is a new breakthrough 3D-printable alloy with remarkable high temperature properties, e.g., creep. It is an oxide dispersion-strengthened alloy with a Ni-Co-Cr matrix. Preliminary tests of this alloy at cryogenic temperatures also show promising results (Yield Strength (YS) T®77K ~ 0.9 GPa, Elongation to Failure (EF), or ductility T®77K ~ 40%). We note that recently developed Ni-Co-Cr-based Medium Entropy Alloys (MEAs) in general demonstrate exceptional mechanical properties at cryogenic temperatures, e.g., a remarkable increase in strength accompanied by a simultaneous increase in ductility (YS T®77K ~ 0.7 GPa, EF T®77K ~ 90%, FT T®77K ~ 280 MPa×m1/2), with decreasing deformation temperature from Room Temperature (RT) to cryogenic temperatures [3]. The diffusivity of hydrogen (e.g., along the grain boundaries), its segregation at lattice defects and the corresponding effects on deformation behavior (e.g., ductility) have not been quantified in the literature for Ni-Co-Cr-based MEAs, in general, and GRX-810 alloy, in particular. Atomistic modeling and simulations are perfectly suited to study the mechanisms of hydrogen embrittlement in full atomic detail and provide recommendations for novel alloy compositions that improve deformation behavior at cryogenic temperatures. Our proposed effort will be leveraged by the capabilities we already have. In particular, the Density Functional Theory- (DFT) informed simulation potential for Ni-Co-Cr, recently developed in our group, will be used for this project, along with the state-of-the-art atomistic simulation techniques (including ab-initio, molecular dynamics, kinetic Monte Carlo, and their combinations) [4, 5]. 
First, we will fit the interatomic potential for Ni-Co-Cr-H (using the existent interatomic potential for Ni-Co-Cr, recently developed in our group), to enable realistic modeling of hydrogen diffusion and segregation at lattice defects in the material. Next, the segregation of hydrogen at lattice defects (e.g., grain boundaries) will be investigated, employing hybrid Molecular Dynamics / kinetic Monte Carlo (MD/MC) simulations. And finally, the effects of hydrogen segregation on deformation behavior at cryogenic temperatures will be studied. In particular, a series of MD deformation tests will be carried out at cryogenic temperatures, varying the amount of hydrogen (and the amounts individual Ni, Co, Cr elements) in the simulation system containing a lattice defect, which would serve as a sink for hydrogen (e.g., a grain boundary). The successful accomplishment of the proposed work will lead to identifying the composition that most effectively improves the performance of the material at cryogenic temperatures. ",,
"Energy Efficient, Out-of-Autoclave Manufacturing of Thermoplastic Composites for Aircraft Structures",TTT,Green Aviation Solicitation,2023,,,"Title: Energy Efficient, Out-of-Autoclave Manufacturing of Thermoplastic Composites for
Aircraft Structures.
Background: Industry enthusiasm around thermoplastic composites (TPCs) is seeing a
resurgence due to the potential for rapid manufacture of large aerospace structures. TPC
matrices differ from the traditionally utilized thermosetting resins in that fabrication of a
thermoplastic (TP) part requires only heating the material above its softening temperature and
applying pressure to consolidate multiple layers of material. Currently, this process requires
consolidation in a press or autoclave. The autoclave process for TPs has a substantial energy
requirement for heating and cooling (processing temperatures are higher for TPs than
thermosets) and autoclave/press consolidation requires non-reusable, consumable materials.
However, opportunity for manufacturing flexibility exists for TPs because the requirement for
consolidating thermoplastics includes only heat and pressure. Of particular interest is out-ofautoclave consolidation.
Problem: Out-of-autoclave or ‘in-situ’ consolidation eliminates the energy intensive
processing step of autoclave or press consolidation. To date, mechanical tests on parts
manufactured by this process have shown a reduction in interlaminar strength. Previous work
at the University of Delaware studied the physical mechanisms controlling laminate quality
during in-situ consolidation by automated fiber placement (AFP). Process variables such as heat
transfer, inter-ply contact time, and void reduction were modeled, tested, and quantified. The
causes of inadequate consolidation were correlated with process, material, and machine
parameters. The study concluded that heat transfer, lay-down speed, and consolidation
pressure were the principle controllable process variables affecting laminate quality. (1,2)
Current AFP and braiding processes do not support the time, temperature or pressure
requirements to allow single-step production of aerospace quality composites.
Has someone tried to solve the problem before. Out-of-autoclave processes have been
attempted and is an area of active research but, to date, has been unsuccessful in meeting the
mechanical properties achievable by traditional processing methods. The issue is partly due to
time, temperature, and pressure requirements as described above. However, this cannot be
the entire story as well-established fusion bonding processes such as induction welding and
ultrasonic welding are very rapid in nature and still yield strong bonds. The fundamental
difference between these welding processes and in-situ consolidation is in the number of
heating and cooling cycles experienced per ply of the TPC during fabrication and consolidation.
When carbon fiber/thermoplastic plies are consolidated the air trapped between those layers is
condensed by the consolidation pressure and absorbed in the matrix. In-situ consolidation by
AFP, for example heats every ply as it is laid down, and several plies beneath. Each time a layer
is reheated, trapped air expands, eventually leading to interlaminar void formation and reduced
interlaminar mechanical properties.",,
High Lift High Load LPT Blade for Hybrid Engine,TTT,Green Aviation Solicitation,2023,,,"Title: High Lift High Load LPT Blade Design for Hybrid Turbine Engines
Hybrid electric aircraft concepts, in general, offer the potential to downsize the core design of turbine engines, a
concept currently under examination in the HyTEC program. Additionally, they provide operational benefits
influenced by developments through TTT initiative. Both endeavors aim to enhance the efficiency of turbine engine
components while increasing the overall bypass ratio of the aircraft. It is important to acknowledge that there are
inevitable challenges associated with the downsizing of engine components, which must be addressed. While
HyTEC focuses on promptly finding solutions to these challenges for near future, it is imperative to remain mindful
of and proactively tackle the technical difficulties that might affect such efforts for the long term. On the other
hand, new aircraft concepts like SUSAN and STARC-ABL aim to hybridize aircraft operations by employing turbine
engines to power electric machines, thus further increasing the aircraft's overall bypass ratio. In order fully unlock
the potential advantages offered by these conceptual aircraft architectures, it is imperative to comprehend and
address the challenges and potential enhancements that will impact the turbine engine. In the turbine engine, high
pressure, and low-pressure turbines (HPT and LPT) are responsible for providing the energy to run the high
pressure and low-pressure compressors (HPC and LPC) respectively as well as providing excess energy for auxiliary
components of the aircraft. the significance of the turbines, particularly the LPT, should not be underestimated",,
Dual Hydrogen-Jet Fuel Aircraft - a path to zero emissions,TTT,Green Aviation Solicitation,2023,,,"Title: Dual Hydrogen-Jet Fuel Aircraft – a path to zero emissions
The work will build upon the dual hydrogen-jet fuel aircraft concept first demonstrated
in 1956 to enable a path to low emissions, which reduced demands on renewable energy and
infrastructure, towards zero emissions. The dual hydrogen-jet fuel aircraft concept retains the
wing tanks and economically adds hydrogen to a 737-class single aisle offloading Jet A to retain
the same range enabling flexible aircraft operations and paths forward. Dual Hydrogen-Jet Fuel
aircraft with only 2080km of zero emission range, or 30% hydrogen by energy can reduce
emissions by 50% can be raised to an astonishing 97.5% at lower and more stable fuel costs
than SAF and Jet A. The low energy per unit volume of hydrogen introduces significant aviation
challenges for 100% LH2 fueled aircraft to economically meet the stringent mass, volume, and
safety requirements and the first order optimum is ~30% LH2 by energy. The 97.5% U.S.
emissions reduction will require a change in the airline business model.
The dual hydrogen-jet fuel concept is a significant departure from the 2021 U.S. Aviation
Climate Action Plan based on drop-in carbon-based Sustainable Aviation Fuels (SAF) and most
importantly, is not a ‘farther term technology” that also retains the current Aero portfolio to
offset increases in cost. The U.S. Climate Action Plan stated that there was no expectation that
LH2 aircraft would make a significant contribution towards achieving net-zero emissions by
2050. The much slower adoption of hydrogen fuel was also based primarily upon the need to
access renewable energy and to develop ground storage and distribution systems, and to a
lesser extent, upon the need mature electric and hydrogen technologies and to tackle several
other technical and safety challenges. The 2020 European Hydrogen Aircraft study cited a
derived need for ~4300GW for 100% SAF vs 1450 GW for 100% LH2--likely overlooked--while
30% LH2 would require 435 GW, a ten-fold decrease, but must add back liquefaction energy. By
relying on off-grid and excess energy, LH2 production will not have to rely on grid provided
renewable energy. Note that plant based SAF may only achieve 25% carbon emission
reduction, ~4X less than carbon free hydrogen and SAF via direct air capture.
At present, 2050 SAF goals are unstainable beyond ‘not achieving the net-zero by 2050
goal’. In general, limited supply SAF (HEFA) is the lowest cost while unbounded supply based on
direct air capture [a massive green prize] plus green LH2 (PtL/e-kerosene) is the highest cost
fuel. SAF’s have predicted costs 2-10x the cost of Jet A, creating a significant risk to national
and world security, in an attempt to limit aircraft and infrastructure modifications, besides
incorrectly assuming SAF would require less renewable energy and that off-grid, excess
renewable energy is not available, which would favor hydrogen.
The U.S. Climate Action Plan correctly identified that Aviation *must change the fuel* to
meet net zero goals and that technology alone showcased in the in EPFD and TTBW/X-66A
demonstrators would *not* be sufficient. In *contrast*, hydrogen aircraft would become the
pull technology in fewer higher energy locations to help eliminate grid bottlenecks and reduce
emissions in the hard to decarbonize industries. In contrast, rather than remove fuselage and
engines from a MD-90 to form the TTBW/X66A, adding hydrogen tanks could fly the same
number of PAX with hydrogen plumbed to the rear-mounted engines. The Airbus A380 LH2
demonstrator adds a 3rd hydrogen engine cantilevered from the fuselage along with the
hydrogen fuel system and tank. In contrast, while the truss braced wing is an excellent design
for battery and 100% hydrogen aircraft since ~no energy will be carried in the wings, the lower
amount of jet fuel carried must be further considered in a dual hydrogen-jet fuel concept.
",,
