Prompt,Source,Maturity,Description,EXPO Day 1: Problem Card Prompts,EXPO Day 1: Solution Card Prompts,Solution Cards Original v\.2,Transcript,undefined,Tag
"How might data technologies incentivize actors across multiple sectors and levels to take on activities that lead to disaster mitigation (e.g. improve building standards, reduce fuels that could feed wildfires, build resiliency into communities and companies)?",CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
How does climate change and severe weather events impact the   of airspace that is navigable by aircraft?,CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
How are increasing number of tornadoes affecting the need for aerospace vehicles that interact with storms to study them and and potentially alter them by physical disruption through new vehicle designs?,CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
How does climate change and severe weather events impact the viability of current military installations from a geographical standpoint?,CAS Discovery  GeoEngineering,Low,,Climate change and severe weather events,,,,,weather and disasters
"How might increased monitoring of weather and the environment improve routing models and vehicle design for safer and more reliable transportation via AI, IoT, wearables, etc.?",CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
How might weather changes impact the viability of long-range ocean transport e.g. commercial shipping?,CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
And by extension - How does climate change and severe weather events impact the viability of current civilian installations(needed infra such as airports) from a geographical standpoint?,CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
"How might the coordination of geoengineering efforts across universities, public and private organizations be leveraged to reduce severe weather events?",CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
How might weather manipulation (like cloud seeding) reduce ocean acidification and soil degradation?,CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
"How might data technologies incentivize actors across multiple sectors and levels to take on activities that lead to disaster mitigation (e.g. improve building standards, reduce fuels that could feed wildfires, build resiliency into communities and companies)?",CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
How does climate change and severe weather events impact the   of airspace that is navigable by aircraft?,CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
How are increasing number of tornadoes affecting the need for aerospace vehicles that interact with storms to study them and and potentially alter them by physical disruption through new vehicle designs?,CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
How does climate change and severe weather events impact the viability of current military installations from a geographical standpoint?,CAS Discovery  GeoEngineering,Low,,Climate change and severe weather events,,,,,weather and disasters
"How might increased monitoring of weather and the environment improve routing models and vehicle design for safer and more reliable transportation via AI, IoT, wearables, etc.?",CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
How might weather changes impact the viability of long-range ocean transport e.g. commercial shipping?,CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
And by extension - How does climate change and severe weather events impact the viability of current civilian installations(needed infra such as airports) from a geographical standpoint?,CAS Discovery  GeoEngineering,Low,,,,,,,weather and disasters
